"CD_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASCIMENTO","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
368898,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,2005,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
289263,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,M,1996,N,A0,,,N
374358,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,M,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
367481,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,M,2004,S,L3,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
366939,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,M,2003,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
368079,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
371851,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CENTRO,SANHARÓ,PE,M,2004,N,A0,,ENSINO FUNDAMENTAL INCOMPLETO,N
372219,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,RETIRO,BEZERROS,PE,F,1987,S,L2,,ENSINO FUNDAMENTAL,N
342077,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,RETIRO,BEZERROS,PE,F,1987,S,L2,,ENSINO FUNDAMENTAL,N
371727,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
367297,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2004,N,A0,,ENSINO FUNDAMENTAL,N
371606,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
370315,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,CAMOCIM DE SÃO FÉLIX,PE,F,2003,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371754,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,CAMOCIM DE SÃO FÉLIX,PE,F,2004,S,L5,ENSINO MEDIO,ENSINO MEDIO,N
306955,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1997,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
369257,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,2004,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
370842,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,2004,S,L7,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
366412,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,2004,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371753,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,2005,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
371194,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BREJO DA MADRE DE DEUS,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,M,2005,S,L7,ENSINO MEDIO,ENSINO SUPERIOR,N
370321,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CACHOEIRINHA,PE,BRA,LOT. NEUZA GARCIA,CARUARU,PE,F,2001,S,L1,SEGUNDO GRAU INCOMPLETO,ENSINO FUNDAMENTAL,N
371779,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAMOCIM DE SÃO FÉLIX,PE,BRA,CENTRO,CAMOCIM DE SÃO FÉLIX,PE,M,2004,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
368646,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,ALTINHO,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
371813,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,ALTINHO,PE,F,2004,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
325297,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,ALTINHO,PE,M,2000,S,L5,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
370671,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BEZERROS,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
371386,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BEZERROS,PE,M,2005,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
372300,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,CAMOCIM DE SÃO FÉLIX,PE,F,2004,S,L1,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
366429,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,PETROPOLIS,CARUARU,PE,F,1995,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,S
358494,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,2001,N,A0,,ENSINO SUPERIOR,N
340919,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2002,N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
371286,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MORRO DO BOM JESUS,CARUARU,PE,F,2002,S,L3,,ENSINO FUNDAMENTAL INCOMPLETO,N
359282,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,2003,S,L3,,ENSINO MEDIO,N
371022,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,KENNEDY,CARUARU,PE,F,2003,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
370267,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,KENNEDY,CARUARU,PE,F,2004,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
374354,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CEDRO,CARUARU,PE,F,2004,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371092,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE ALTA,CARUARU,PE,F,2004,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371641,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,UNIVERSITARIO,CARUARU,PE,F,2005,N,A0,,ENSINO SUPERIOR,N
367520,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2005,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
368792,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,JOAO MOTA,CARUARU,PE,F,2005,N,A0,ENSINO MEDIO,ENSINO FUNDAMENTAL,N
369025,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,F,2005,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
371795,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,2005,N,A0,SEGUNDO GRAU INCOMPLETO,ENSINO MEDIO,N
370234,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOVA CARUARU,CARUARU,PE,F,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
366205,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SAO FRANCISCO,CARUARU,PE,F,2005,S,L1,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
369640,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTENARIO,CARUARU,PE,M,1982,S,L5,ENSINO MEDIO,ENSINO MEDIO,N
317182,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,RENDEIRAS,CARUARU,PE,M,1997,N,A0,SUPERIOR INCOMPLETO,ENSINO MEDIO,N
356574,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,M,2002,S,L1,,ENSINO FUNDAMENTAL INCOMPLETO,N
371089,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,M,2003,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
370213,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,KENNEDY,CARUARU,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
370124,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SAO FRANCISCO,CARUARU,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
368837,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,M,2004,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
370544,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,M,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
369023,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,INDIANOPOLIS,CARUARU,PE,M,2005,N,A0,SEGUNDO GRAU INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
371474,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,M,2005,S,L3,ENSINO MEDIO,ENSINO MEDIO,N
369711,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,CUMARU,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
366814,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,HELIOPOLIS,GARANHUNS,PE,F,2005,S,L7,ENSINO FUNDAMENTAL,SEGUNDO GRAU INCOMPLETO,N
374365,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,GRAVATÁ,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
370882,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371289,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,N,A0,,ENSINO FUNDAMENTAL INCOMPLETO,N
369285,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
366719,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,N,A0,,ENSINO SUPERIOR,N
368195,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
370285,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
369072,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,S,L1,ENSINO MEDIO,ENSINO MEDIO,N
371556,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,S,L7,,ENSINO MEDIO,N
371810,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,S,L3,ENSINO MEDIO,ENSINO MEDIO,N
371274,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,S,L1,,SUPERIOR INCOMPLETO,N
369376,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2006,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
335966,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2001,S,L7,,ENSINO FUNDAMENTAL,N
369333,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L7,,ENSINO FUNDAMENTAL INCOMPLETO,N
374348,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,N,A0,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
370604,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
370820,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
369169,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,RIACHO DAS ALMAS,PE,F,2004,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
374555,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,SÃO BENTO DO UNA,PE,M,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
370863,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CATOLÉ DO ROCHA,PB,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
357725,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CEDRO,CE,BRA,LAGOA DA VACA,SURUBIM,PE,F,2003,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371183,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CONDADO,PE,BRA,CENTRO,CONDADO,PE,F,2003,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
348652,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CORTÊS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L7,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
370000,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CORTÊS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2004,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ANALFABETO,N
350545,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,F,2001,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
372220,2023,1,TRANSFERENCIA INTERNA,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,NOSSA SENHORA DAS DORES,CARUARU,PE,F,2001,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
366242,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371567,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,M,2003,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
367380,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CUPIRA,PE,BRA,CENTRO,CUPIRA,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL,N
367796,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CURRAIS NOVOS,RN,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L3,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371228,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FEIRA DE SANTANA,BA,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2005,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
370658,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FRANCO DA ROCHA,SP,BRA,CENTRO,AGRESTINA,PE,M,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
371726,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,FREI MIGUELINHO,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ANALFABETO,N
366360,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CENTRO,PESQUEIRA,PE,F,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
367047,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
374412,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2004,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
355609,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GARANHUNS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2003,S,L5,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
220011,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATÁ,PE,BRA,PRADO,GRAVATÁ,PE,M,1992,N,A0,,,N
339673,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATÁ,PE,BRA,SANTO ANTONIO,GRAVATÁ,PE,M,1999,N,A0,APERFEICOAMENTO,SUPERIOR INCOMPLETO,N
374576,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,GRAVATÁ,PE,BRA,CENTRO,GRAVATÁ,PE,M,2003,S,L7,,SEGUNDO GRAU INCOMPLETO,N
371688,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JABOATÃO DOS GUARARAPES,PE,BRA,CENTRO,BONITO,PE,M,1978,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
367372,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUAZEIRO,BA,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
370511,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUREMA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2003,S,L7,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
371499,2023,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUREMA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2005,S,L3,,ANALFABETO,N
368204,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,JUREMA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2005,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
369860,2023,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,LAGOA DO CARRO,PE,BRA,CENTRO,LAGOA DO CARRO,PE,F,2004,N,A0,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
